CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
IGF2R,IGF2R,insulin like growth factor 2 receptor,"insulin-like growth factor 2 receptor; CD222,MPRI,MPR1,CIMPR,M6P-R,CI-M6PR,CI-MPR,MPR300; cation-independent mannose-6 phosphate receptor",Core,,
IGFBP3,IGFBP3,insulin like growth factor binding protein 3,"IBP3,BP-53; insulin-like growth factor binding protein 3; growth hormone-dependent binding protein,acid stable subunit of the 140 K IGF complex,binding protein 53,binding protein 29,IGF-binding protein 3",Core,,
IGFBP5,IGFBP5,insulin like growth factor binding protein 5,insulin-like growth factor binding protein 5,Core,,
IGFBP6,IGFBP6,insulin like growth factor binding protein 6,insulin-like growth factor binding protein 6,Core,,
IGFBP7,IGFBP7,insulin like growth factor binding protein 7,"MAC25,IGFBP-7,PSF,FSTL2; insulin-like growth factor binding protein 7",Core,,
IGHA1,IGHA1,immunoglobulin heavy constant alpha 1,AL928768.3,Core,,
IGHD,IGHD,immunoglobulin heavy constant delta,"immunoglobulin delta,constant region of heavy chain of IgD; FLJ00382,FLJ46727,MGC29633",Core,,
IGHG1,IGHG1 | IGHG2 | IGHG3 | IGHG4,immunoglobulin heavy constant gamma 1 (G1m marker) | immunoglobulin heavy constant gamma 2 (G2m marker) | immunoglobulin heavy constant gamma 3 (G3m marker) | immunoglobulin heavy constant gamma 4 (G4m marker), |  |  | ,Core,,
IGHG2,IGHG1 | IGHG2 | IGHG3 | IGHG4,immunoglobulin heavy constant gamma 1 (G1m marker) | immunoglobulin heavy constant gamma 2 (G2m marker) | immunoglobulin heavy constant gamma 3 (G3m marker) | immunoglobulin heavy constant gamma 4 (G4m marker), |  |  | ,Core,,
IGHM,IGHM,immunoglobulin heavy constant mu,,Core,,
IGKC,IGKC,immunoglobulin kappa constant,HCAK1,Core,,
IKZF3,IKZF3,IKAROS family zinc finger 3,"Aiolos; zinc finger protein, subfamily 1A, 3 (Aiolos),IKAROS family zinc finger 3 (Aiolos)",Core,,
IL10,IL10,interleukin 10,"cytokine synthesis inhibitory factor,T-cell growth inhibitory factor; CSIF,TGIF,IL10A,IL-10",Core,,
IL10RA,IL10RA,interleukin 10 receptor subunit alpha,"interleukin 10 receptor, alpha; HIL-10R,CDW210A,CD210a,CD210",Core,,
IL10RB,IL10RB,interleukin 10 receptor subunit beta,"interleukin 10 receptor, beta; CRF2-4,CDW210B,IL-10R2",Core,,
IL11,IL11,interleukin 11,"IL-11,AGIF; adipogenesis inhibitory factor,oprelvekin",Core,,
IL11RA,IL11RA,interleukin 11 receptor subunit alpha,"interleukin 11 receptor, alpha",Core,,
IL12A,IL12A,interleukin 12A,"natural killer cell stimulatory factor 1, 35 kD subunit,cytotoxic lymphocyte maturation factor 1, p35,interleukin 12, p35,IL-12, subunit p35,NF cell stimulatory factor chain 1,interleukin-12 alpha chain,IL35 subunit; interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35); CLMF,IL-12A,p35,NFSK",Core,,
IL12B,IL12B,interleukin 12B,"CLMF,IL-12B,NKSF,CLMF2; interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40); natural killer cell stimulatory factor-2,cytotoxic lymphocyte maturation factor 2, p40,interleukin 12, p40,natural killer cell stimulatory factor, 40 kD subunit,interleukin-12 beta chain,IL12, subunit p40",Core,,
IL12RB1,IL12RB1,interleukin 12 receptor subunit beta 1,"CD212; interleukin 12 receptor, beta 1",Core,,
IL12RB2,IL12RB2,interleukin 12 receptor subunit beta 2,"interleukin 12 receptor, beta 2",Core,,
IL13RA1,IL13RA1,interleukin 13 receptor subunit alpha 1,"IL-13Ra,NR4,CD213a1; IL13 receptor alpha-1 chain,CD213a1 antigen; interleukin 13 receptor, alpha 1",Core,,
IL15,IL15,interleukin 15,"IL-15,MGC9721",Core,,
IL15RA,IL15RA,interleukin 15 receptor subunit alpha,"CD215,IL-15RA; interleukin 15 receptor, alpha",Core,,
IL16,IL16,interleukin 16,"LCF,IL-16,prIL-16,HsT19289,FLJ42735,FLJ16806; interleukin 16 (lymphocyte chemoattractant factor); prointerleukin 16,lymphocyte chemoattractant factor",Core,,
IL17A,IL17A,interleukin 17A,"cytotoxic T-lymphocyte-associated protein 8; interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8); IL-17A,IL-17",Core,,
IL17B,IL17B,interleukin 17B,"IL-17B,ZCYTO7,IL-20,MGC138900,MGC138901,NIRF; neuronal interleukin-17-related factor",Core,,
IL17D,IL17D,interleukin 17D,"IL-27,IL-17D,IL27,FLJ30846; interleukin 27",Core,,
IL17RA,IL17RA,interleukin 17 receptor A,"interleukin 17 receptor; hIL-17R,IL-17RA,CDw217,CD217",Core,,
IL17RB,IL17RB,interleukin 17 receptor B,"interleukin 17B receptor; IL17RH1,EVI27,CRL4",Core,,
IL17RE,IL17RE,interleukin 17 receptor E,FLJ23658,Core,,
IL18,IL18,interleukin 18,"interleukin 18 (interferon-gamma-inducing factor); interferon-gamma-inducing factor; IGIF,IL1F4,IL-1g,IL-18",Core,,
IL18R1,IL18R1,interleukin 18 receptor 1,"IL1RRP,IL-1Rrp,CD218a",Core,,
IL1A,IL1A,interleukin 1 alpha,"IL1F1,IL-1A,IL1-ALPHA; preinterleukin 1 alpha,hematopoietin-1,pro-interleukin-1-alpha",Core,,
IL1B,IL1B,interleukin 1 beta,"IL1F2,IL-1B,IL1-BETA",Core,,
IL1R1,IL1R1,interleukin 1 receptor type 1,"interleukin-1 receptor, type I; D2S1473,CD121A; interleukin 1 receptor, type I",Core,,
IL1R2,IL1R2,interleukin 1 receptor type 2,"interleukin 1 receptor, type II; CD121b",Core,,
IL1RAP,IL1RAP,interleukin 1 receptor accessory protein,"IL-1RAcP,IL1R3,C3orf13",Core,,
IL1RL1,IL1RL1,interleukin 1 receptor like 1,"homolog of mouse growth stimulation-expressed; ST2,FIT-1,ST2L,ST2V,DER4,T1,IL33R",Core,,
IL1RN,IL1RN,interleukin 1 receptor antagonist,"IL1RA,ICIL-1RA,IL1F3,IRAP,IL-1RN,MGC10430; interleukin-1 receptor antagonist protein,intracellular interleukin-1 receptor antagonist",Core,,
IL2,IL2,interleukin 2,"T cell growth factor; IL-2,TCGF",Core,,
IL20,IL20,interleukin 20,"ZCYTO10,IL10D,IL-20",Core,,
IL20RA,IL20RA,interleukin 20 receptor subunit alpha,"interleukin 20 receptor, alpha,interleukin 20 receptor alpha subunit; ZCYTOR7,IL-20R1",Core,,
IL22RA1,IL22RA1,interleukin 22 receptor subunit alpha 1,"CRF2-9; interleukin 22 receptor,interleukin 22 receptor, alpha 1",Core,,
IL23A,IL23A,interleukin 23 subunit alpha,"interleukin-six, G-CSF related factor; interleukin 23, alpha subunit p19; SGRF,IL23P19,IL-23,IL-23A,P19",Core,,
IL24,IL24,interleukin 24,"melanoma differentiation association protein 7,suppression of tumorigenicity 16 (melanoma differentiation),IL-4-induced secreted protein; mda-7,IL10B,Mob-5,C49A,FISP,IL-24",Core,,
IL27RA,IL27RA,interleukin 27 receptor subunit alpha,"WSX-1,TCCR,CRL1,WSX1,zcytor1,IL-27R; interleukin 27 receptor, alpha; T-cell cytokine receptor type 1",Core,,
IL2RA,IL2RA,interleukin 2 receptor subunit alpha,"CD25; insulin-dependent diabetes mellitus 10,interleukin 2 receptor, alpha",Core,,
IL2RB,IL2RB,interleukin 2 receptor subunit beta,"CD122; interleukin 15 receptor, beta,interleukin 2 receptor, beta",Core,,
IL2RG,IL2RG,interleukin 2 receptor subunit gamma,"CD132; severe combined immunodeficiency,combined immunodeficiency, X-linked,interleukin 2 receptor, gamma",Core,,
IL32,IL32,interleukin 32,"natural killer cell transcript 4; NK4,TAIF,TAIFb,TAIFd",Core,,
IL33,IL33,interleukin 33,"chromosome 9 open reading frame 26 (NF-HEV); DVS27,DKFZp586H0523,NF-HEV,IL1F11; DVS27-related protein,nuclear factor for high endothelial venules,interleukin-1 family, member 11",Core,,
IL34,IL34,interleukin 34,"chromosome 16 open reading frame 77; MGC34647,IL-34",Core,,
IL36G,IL36G,interleukin 36 gamma,"interleukin 1 family, member 9; IL-1H1,IL-1RP2,IL-1F9,IL1H1,IL1E; interleukin-1 homolog 1,interleukin 1-related protein 2,interleukin-1 epsilon",Core,,
IL3RA,IL3RA,interleukin 3 receptor subunit alpha,"CD123; interleukin 3 receptor, alpha (low affinity)",Core,,
IL4R,IL4R,interleukin 4 receptor,interleukin 13 receptor; CD124,Core,,
IL6,IL6,interleukin 6,"interferon, beta 2; interleukin 6 (interferon, beta 2); IL-6,BSF2,HGF,HSF",Core,,
IL6R,IL6R,interleukin 6 receptor,"membrane glycoprotein 80,interleukin 6 receptor subunit alpha; CD126,IL-6R,IL-1Ra,IL6RA,gp80",Core,,
IL6ST,IL6ST,interleukin 6 cytokine family signal transducer,"gp130, oncostatin M receptor,Interleukin-6 receptor subunit beta,membrane glycoprotein 130; interleukin 6 signal transducer (gp130, oncostatin M receptor),interleukin 6 signal transducer; GP130,CD130,sGP130,IL-6RB",Core,,
IL7,IL7,interleukin 7,IL-7,Core,,
IL7R,IL7R,interleukin 7 receptor,"CD127,IL7RA",Core,,
INHA,INHA,inhibin subunit alpha,"inhibin, alpha",Core,,
INHBA,INHBA,inhibin subunit beta A,"inhibin, beta A (activin A, activin AB alpha polypeptide),inhibin, beta A",Core,,
INHBB,INHBB,inhibin subunit beta B,"inhibin, beta B (activin AB beta polypeptide),inhibin, beta B",Core,,
INS,INS | INS-IGF2,insulin | INS-IGF2 readthrough,insulin-dependent diabetes mellitus 2 | ,Core,,
INSIG1,INSIG1,insulin induced gene 1,"CL-6,MGC1405; INSIG-1 membrane protein",Add-On,,
INSR,INSR,insulin receptor,CD220,Core,,
IRF3,IRF3,interferon regulatory factor 3,,Core,,
IRF4,IRF4,interferon regulatory factor 4,LSIRF,Core,,
ISG15,ISG15,ISG15 ubiquitin like modifier,"interferon, alpha-inducible protein (clone IFI-15K); IFI15,UCRP",Add-On,,
ITGA1,ITGA1,integrin subunit alpha 1,"very late antigen-1; integrin, alpha 1; VLA1,CD49a",Core,,
ITGA2,ITGA2,integrin subunit alpha 2,"alpha 2 subunit of VLA-2 receptor; integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor); CD49b",Core,,
ITGA3,ITGA3,integrin subunit alpha 3,"alpha 3 subunit of VLA-3 receptor,antigen CD49C; antigen identified by monoclonal antibody J143,integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor); CD49c,VLA3a,VCA-2,GAP-B3",Core,,
ITGA5,ITGA5,integrin subunit alpha 5,"fibronectin receptor, alpha polypeptide; CD49e; integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",Core,,
ITGA6,ITGA6,integrin subunit alpha 6,"integrin, alpha 6; CD49f",Core,,
ITGA8,ITGA8,integrin subunit alpha 8,"integrin, alpha 8",Core,,
ITGA9,ITGA9,integrin subunit alpha 9,"integrin, alpha 9; RLC,ITGA4L,ALPHA-RLC; integrin, alpha 4-like",Core,,
ITGAE,ITGAE,integrin subunit alpha E,"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide); CD103,HUMINAE; antigen CD103,human mucosal lymphocyte antigen 1, alpha polypeptide",Core,,
ITGAL,ITGAL,integrin subunit alpha L,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide); LFA-1,LFA1A; antigen CD11A (p180),lymphocyte function-associated antigen 1, alpha polypeptide",Core,,
ITGAM,ITGAM,integrin subunit alpha M,"integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide),integrin, alpha M (complement component 3 receptor 3 subunit); MAC-1,CD11b; complement component 3 receptor 3 subunit,macrophage-1 antigen alpha subunit",Core,,
ITGAV,ITGAV,integrin subunit alpha V,"CD51; antigen identified by monoclonal antibody L230,vitronectin receptor,integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51),integrin, alpha V",Core,,
ITGAX,ITGAX,integrin subunit alpha X,"integrin, alpha X (antigen CD11C (p150), alpha polypeptide),integrin, alpha X (complement component 3 receptor 4 subunit); complement component 3 receptor 4 subunit; CD11c",Core,,
ITGB1,ITGB1,integrin subunit beta 1,"CD29,GPIIA; integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",Core,,
ITGB2,ITGB2,integrin subunit beta 2,"complement component 3 receptor 3 and 4 subunit; LFA-1,MAC-1; integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit),integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",Core,,
ITGB4,ITGB4,integrin subunit beta 4,"integrin, beta 4; CD104",Core,,
ITGB5,ITGB5,integrin subunit beta 5,"integrin, beta 5",Core,,
ITGB6,ITGB6,integrin subunit beta 6,"integrin, beta 6",Core,,
ITGB8,ITGB8,integrin subunit beta 8,"integrin, beta 8",Core,,
ITK,ITK,IL2 inducible T cell kinase,"IL2-inducible T-cell kinase,IL2 inducible T-cell kinase; EMT,PSCTK2,LYK",Core,,
ITM2A,ITM2A,integral membrane protein 2A,"BRICHOS domain containing 2A; BRICD2A,E25A",Core,,
ITM2B,ITM2B,integral membrane protein 2B,"BRI,E25B,E3-16,BRICD2B,BRI2; BRICHOS domain containing 2B",Add-On,,
JAG1,JAG1,jagged canonical Notch ligand 1,"Alagille syndrome,jagged 1; AHD,AWS,HJ1,CD339",Core,,
JAK1,JAK1,Janus kinase 1,"JAK1A,JTK3",Core,,
JAK2,JAK2,Janus kinase 2,JTK10,Core,,
JCHAIN,JCHAIN,joining chain of multimeric IgA and IgM,"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides; IGCJ,JCH; immunoglobulin J chain,IgJ chain,J chain",Core,,
JUN,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit","v-jun avian sarcoma virus 17 oncogene homolog,jun oncogene; c-Jun,AP-1",Core,,
JUNB,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",,Core,,
KDR,KDR,kinase insert domain receptor,"FLK1,VEGFR,VEGFR2,CD309; kinase insert domain receptor (a type III receptor tyrosine kinase); vascular endothelial growth factor receptor 2,fetal liver kinase 1",Core,,
KIT,KIT,"KIT proto-oncogene, receptor tyrosine kinase","piebald trait,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog; mast/stem cell growth factor receptor Kit; CD117,SCFR,C-Kit",Core,,
KITLG,KITLG,KIT ligand,"mast cell growth factor,stem cell factor,steel factor,familial progressive hyperpigmentation 2; SCF,SF,Kitl,KL-1,FPH2,SLF,DFNA69",Core,,
KLF2,KLF2,KLF transcription factor 2,"Kruppel-like factor 2 (lung),Kruppel like factor 2; LKLF; lung Kruppel-like factor",Core,,
KLK3,KLK3,kallikrein related peptidase 3,"kallikrein 3, (prostate specific antigen); prostate specific antigen; PSA",Core,,
KLRB1,KLRB1,killer cell lectin like receptor B1,"CD161,NKR-P1,NKR-P1A,hNKR-P1A,CLEC5B; killer cell lectin-like receptor subfamily B, member 1; natural killer cell surface protein P1A",Core,,
KLRF1,KLRF1,killer cell lectin like receptor F1,"CLEC5C,NKp80; killer cell lectin-like receptor subfamily F, member 1",Core,,
KLRK1,KLRC4-KLRK1 | KLRK1,KLRC4-KLRK1 readthrough | killer cell lectin like receptor K1," | NKG2D,KLR,NKG2-D,CD314; DNA segment on chromosome 12 (unique) 2489 expressed sequence,killer cell lectin-like receptor subfamily K, member 1",Core,,
KRAS,KRAS,"KRAS proto-oncogene, GTPase","KRAS1,K-Ras4B; v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,Kirsten rat sarcoma viral oncogene homolog",Core,,
KRT1,KRT1,keratin 1,"KRT1A; epidermolytic hyperkeratosis 1,keratin 1, type II",Core,,
KRT10,KRT10,keratin 10,"keratosis palmaris et plantaris,keratin 10, type I; K10,CK10; cytokeratin 10,epidermolytic hyperkeratosis",Core,,
KRT13,KRT13,keratin 13,"K13,CK13,MGC3781,MGC161462; keratin, type I cytoskeletal 13,cytokeratin 13; keratin 13, type I",Core,,
KRT14,KRT14,keratin 14,"keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner),keratin 14, type I; epidermolysis bullosa simplex, Dowling-Meara, Koebner",Core,,
KRT15,KRT15,keratin 15,"K15,CK15,K1CO; keratin-15, basic,keratin-15, beta,type I cytoskeletal 15,cytokeratin 15; keratin 15, type I",Core,,
KRT16,KRT16 | KRT16P1 | KRT16P2 | KRT16P3,keratin 16 | keratin 16 pseudogene 1 | keratin 16 pseudogene 2 | keratin 16 pseudogene 3,"keratin 16, type I; NEPPK; focal non-epidermolytic palmoplantar keratoderma | keratin 14 pseudogene |  | MGC102966; cytokeratin, Smith Magenis syndrome chromosome region",Core,,
KRT17,KRT17 | KRT17P1 | KRT17P2,keratin 17 | keratin 17 pseudogene 1 | keratin 17 pseudogene 2,"keratin 17, type I |  | ",Core,,
KRT18,KRT18,keratin 18,"keratin 18, type I",Core,,
KRT19,KRT19,keratin 19,"K19,CK19,K1CS,MGC15366; keratin 19, type I; keratin, type I cytoskeletal 19,keratin, type I, 40-kd,cytokeratin 19,40-kDa keratin intermediate filament",Core,,
KRT20,KRT20,keratin 20,"keratin 20, type I; CK20,K20,MGC35423",Core,,
KRT23,KRT23,keratin 23,"keratin 23 (histone deacetylase inducible),keratin 23, type I; K23,DKFZP434G032,HAIK1,CK23,MGC26158",Core,,
KRT4,KRT4,keratin 4,"CYK4; cytokeratin 4,keratin, type II cytoskeletal 4; CK4,K4",Core,,
KRT5,KRT5,keratin 5,"epidermolysis bullosa simplex 2 Dowling-Meara/Kobner/Weber-Cockayne types,keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types),keratin 5, type II; KRT5A,CK-5",Core,,
KRT6A/B/C,KRT6A | KRT6B | KRT6C,keratin 6A | keratin 6B | keratin 6C,"keratin 6C,keratin 6D,keratin 6A, type II; CK6C,K6C,CK6D,K6D | keratin-like 1 (a type II keratin sequence),keratin 6B, type II | keratin 6E,keratin 6C, type II",Core,,
KRT7,KRT7,keratin 7,"keratin, type II cytoskeletal 7,cytokeratin 7,sarcolectin,keratin, 55K type II cytoskeletal; keratin 7, type II; K7,CK7,CK-7,K2C7,SCL",Core,,
KRT8,KRT8,keratin 8,"CARD2,K8,CK8,CK-8,CYK8,K2C8,KO; keratin 8, type II",Core,,
KRT80,KRT80,keratin 80,"KB20; keratin 80, type II",Core,,
KRT86,KRT86,keratin 86,"keratin, hair, basic, 6 (monilethrix),keratin 86, type II; MNX,Hb6; hard keratin type II 6",Core,,
LAG3,LAG3,lymphocyte activating 3,CD223; lymphocyte-activation gene 3,Core,,
LAIR1,LAIR1,leukocyte associated immunoglobulin like receptor 1,"CD305,LAIR-1; leukocyte-associated Ig-like receptor 1,leukocyte-associated immunoglobulin-like receptor 1",Core,,
LAMA4,LAMA4,laminin subunit alpha 4,"LAMA3; laminin, alpha 4",Add-On,,
LAMP2,LAMP2,lysosomal associated membrane protein 2,CD107b; lysosomal-associated membrane protein 2,Core,,
LAMP3,LAMP3,lysosomal associated membrane protein 3,"LAMP,TSC403,DC-LAMP,DCLAMP,CD208; lysosomal-associated membrane protein 3",Core,,
LCN2,LCN2,lipocalin 2,"oncogene 24p3,neutrophil gelatinase-associated lipocalin,siderocalin; NGAL,24p3; lipocalin 2 (oncogene 24p3)",Core,,
LDB2,LDB2,LIM domain binding 2,"CLIM1,LDB1",Core,,
LDHA,LDHA,lactate dehydrogenase A,,Core,,
LDLR,LDLR,low density lipoprotein receptor,LDLCQ2; familial hypercholesterolemia,Core,,
LEFTY1,LEFTY1,left-right determination factor 1,"left-right determination, factor B; LEFTYB",Core,,
LEP,LEP,leptin,"leptin (murine obesity homolog),leptin (obesity homolog, mouse)",Core,,
LGALS1,LGALS1,galectin 1,"lectin, galactoside-binding, soluble, 1; GBP",Core,,
LGALS3,LGALS3,galectin 3,"MAC-2,GALIG; lectin, galactoside-binding, soluble, 3; advanced glycation end-product receptor 3",Core,,
LGALS3BP,LGALS3BP,galectin 3 binding protein,"lectin, galactoside-binding, soluble, 3 binding protein; MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,gp90,CyCAP; L3 antigen,Mac-2-binding protein,serum protein 90K,transport and golgi organization 10 homolog B (Drosophila)",Core,,
LGALS9,LGALS9 | LGALS9B | LGALS9C | LOC124907928,galectin 9 | galectin 9B | galectin 9C | ,"LGALS9A; lectin, galactoside-binding, soluble, 9 | lectin, galactoside-binding, soluble, 9B | lectin, galactoside-binding, soluble, 9C | ",Core,,
LGR5,LGR5,leucine rich repeat containing G protein-coupled receptor 5,"HG38,FEX; G protein-coupled receptor 49",Core,,
LIF,LIF,LIF interleukin 6 family cytokine,"differentiation inhibitory activity,differentiation-inducing factor,hepatocyte-stimulating factor III,cholinergic differentiation factor,human interleukin in DA cells; CDF,DIA,HILDA; leukemia inhibitory factor,LIF, interleukin 6 family cytokine",Core,,
LIFR,LIFR,LIF receptor subunit alpha,"CD118; leukemia inhibitory factor receptor,leukemia inhibitory factor receptor alpha,LIF receptor alpha",Core,,
LINC01781,LINC01781,long intergenic non-protein coding RNA 1781,,Core,,
LINC01857,LINC01857,long intergenic non-protein coding RNA 1857,AC079767.4,Core,,
LINC02446,LINC02446,long intergenic non-protein coding RNA 2446,,Core,,
LMNA,LMNA,lamin A/C,"mandibuloacral dysplasia type A; HGPS,MADA; cardiomyopathy, dilated 1A (autosomal dominant),limb girdle muscular dystrophy 1B (autosomal dominant),progeria 1 (Hutchinson-Gilford type),lamin A/C-like 1",Core,,
LPAR5,LPAR5,lysophosphatidic acid receptor 5,"G protein-coupled receptor 92; KPG_010,LPA5",Core,,
LTB,LTB,lymphotoxin beta,"p33,TNFSF3; TNF superfamily member 3",Core,,
LTBR,LTBR,lymphotoxin beta receptor,"TNFR superfamily, member 3; TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3",Core,,
LTF,LTF,lactotransferrin,HLF2,Core,,
LUM,LUM,lumican,SLRR2D; lumican proteoglycan,Core,,
LY6D,LY6D,lymphocyte antigen 6 family member D,"lymphocyte antigen 6 complex, locus D; E48",Core,,
LY75,LY75 | LY75-CD302,lymphocyte antigen 75 | LY75-CD302 readthrough,"DEC-205,CLEC13B,CD205 | ",Core,,
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase",JTK8; v-yes-1 Yamaguchi sarcoma viral related oncogene homolog,Core,,
LYVE1,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,LYVE-1; extracellular link domain containing 1,Add-On,,
LYZ,LYZ,lysozyme,lysozyme (renal amyloidosis); renal amyloidosis,Core,,
MAF,MAF,MAF bZIP transcription factor,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog; c-MAF,Core,,
MALAT1,MALAT1,metastasis associated lung adenocarcinoma transcript 1,"PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,mascRNA; metastasis associated lung adenocarcinoma transcript 1 (non-protein coding); metastasis associated in lung adenocarcinoma transcript 1,non-protein coding RNA 47,hepcarcin,nuclear enriched abundant transcript 2,nuclear paraspeckle assembly transcript 2 (non-protein coding),long intergenic non-protein coding RNA 47",Core,,
MAML2,MAML2,mastermind like transcriptional coactivator 2,"KIAA1819,MAM3; mastermind (Drosophila)-like 2,mastermind-like 2 (Drosophila)",Core,,
MAP1LC3B/2,MAP1LC3B | MAP1LC3B2 | MAP1LC3BP1,microtubule associated protein 1 light chain 3 beta | microtubule associated protein 1 light chain 3 beta 2 | microtubule associated protein 1 light chain 3 beta pseudogene 1,ATG8F | ATG8G | ,Core,,
MAP2K1,MAP2K1,mitogen-activated protein kinase kinase 1,"MEK1,MAPKK1",Add-On,,
MAPK13,MAPK13,mitogen-activated protein kinase 13,"SAPK4,p38delta",Core,,
MAPK14,MAPK14,mitogen-activated protein kinase 14,"p38 MAP kinase; PRKM14,p38,Mxi2,PRKM15",Core,,
MARCKSL1,MARCKSL1,MARCKS like 1,"MARCKS-like protein; F52,MacMARCKS,MLP1",Add-On,,
MARCO,MARCO,macrophage receptor with collagenous structure,"SCARA2,SR-A6; scavenger receptor class A, member 2",Core,,
MB,MB,myoglobin,PVALB,Core,,
MECOM,MECOM,MDS1 and EVI1 complex locus,"PR domain 3; myelodysplasia syndrome 1,ecotropic viral integration site 1; MDS1-EVI1,PRDM3,KMT8E",Core,,
MEG3,MEG3,maternally expressed 3,"maternally expressed 3,maternally expressed 3 (non-protein coding); non-protein coding RNA 23,long intergenic non-protein coding RNA 23,gene trap locus 2; GTL2,NCRNA00023,LINC00023,onco-lncRNA-83",Core,,
MERTK,MERTK,"MER proto-oncogene, tyrosine kinase","c-mer proto-oncogene tyrosine kinase; mer,RP38,c-Eyk,Tyro12",Core,,
MET,MET,"MET proto-oncogene, receptor tyrosine kinase","met proto-oncogene; hepatocyte growth factor receptor; HGFR,RCCP2,DFNB97",Core,,
MFAP5,MFAP5,microfibril associated protein 5,"microfibril-associated glycoprotein-2; MAGP2,MP25; microfibrillar associated protein 5",Core,,
MGP,MGP,matrix Gla protein,,Core,,
MHC I,HLA-A | HLA-B | HLA-C | HLA-E | HLA-F | HLA-G | HLA-H | HLA-J | HLA-L,"major histocompatibility complex, class I, A | major histocompatibility complex, class I, B | major histocompatibility complex, class I, C | major histocompatibility complex, class I, E | major histocompatibility complex, class I, F | major histocompatibility complex, class I, G | major histocompatibility complex, class I, H (pseudogene) | major histocompatibility complex, class I, J (pseudogene) | major histocompatibility complex, class I, L (pseudogene)"," | ankylosing spondylitis | psoriasis susceptibility 1 |  |  | HLA-G histocompatibility antigen, class I, G; b2 microglobulin |  | CDA12,HLA-59 | HLA-92",Core,,
MIF,MIF,macrophage migration inhibitory factor,"macrophage migration inhibitory factor (glycosylation-inhibiting factor); glycosylation-inhibiting factor,phenylpyruvate tautomerase; GIF",Core,,
MIR4435-2HG,MIR4435-2HG,MIR4435-2 host gene,"long intergenic non-protein coding RNA 978,adipogenesis down-regulated transcript 2,lncRNA associated with poor prognosis of HCC,myeloid RNA regulator of Bim-induced death; MIR4435-1 host gene (non-protein coding),MIR4435-1 host gene; LINC00978,AGD2,AK001796,lncRNA-AWPPH,MORRBID",Core,,
MKI67,MKI67,marker of proliferation Ki-67,"antigen identified by monoclonal antibody Ki-67; protein phosphatase 1, regulatory subunit 105,Molecular Immunology Borstel antibody 1; MIB-1,PPP1R105,Ki-67",Core,,
MMP1,MMP1,matrix metallopeptidase 1,matrix metalloproteinase 1 (interstitial collagenase); interstitial collagenase,Core,,
MMP12,MMP12,matrix metallopeptidase 12,matrix metalloproteinase 12 (macrophage elastase); macrophage elastase; HME,Core,,
MMP14,MMP14,matrix metallopeptidase 14,"MT1-MMP; matrix metalloproteinase 14 (membrane-inserted),matrix metallopeptidase 14 (membrane-inserted); membrane type 1 metalloprotease,membrane type 1-matrix metalloproteinase",Core,,
MMP19,MMP19,matrix metallopeptidase 19,RASI-1; matrix metalloproteinase 19,Core,,
MMP2,MMP2,matrix metallopeptidase 2,"matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase); TBE-1",Core,,
MMP7,MMP7,matrix metallopeptidase 7,"matrix metalloproteinase 7 (matrilysin, uterine); PUMP-1; matrilysin",Core,,
MMP9,MMP9,matrix metallopeptidase 9,"matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",Core,,
