CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
CCND1,CCND1,cyclin D1,"U21B31; parathyroid adenomatosis 1,B-cell CLL/lymphoma 1,G1/S-specific cyclin D1; cyclin D1 (PRAD1: parathyroid adenomatosis 1)",Core,,
CCR1,CCR1,C-C motif chemokine receptor 1,"CKR-1,MIP1aR,CD191; chemokine (C-C motif) receptor 1",Core,,
CCR10,CCR10,C-C motif chemokine receptor 10,"G protein-coupled receptor 2,chemokine (C-C motif) receptor 10",Core,,
CCR2,CCR2,C-C motif chemokine receptor 2,"chemokine (C-C motif) receptor 2; CC-CKR-2,CKR2,MCP-1-R,CD192,FLJ78302",Core,,
CCR5,CCR5,C-C motif chemokine receptor 5,"CKR-5,CC-CKR-5,CKR5,CD195,IDDM22; chemokine (C-C motif) receptor 5,chemokine (C-C motif) receptor 5 (gene/pseudogene),C-C motif chemokine receptor 5 (gene/pseudogene)",Core,,
CCR7,CCR7,C-C motif chemokine receptor 7,"chemokine (C-C motif) receptor 7; BLR2,CDw197,CD197",Core,,
CCRL2,CCRL2,C-C motif chemokine receptor like 2,"chemokine (C-C motif) receptor-like 2; HCR,CRAM-B,CKRX,CRAM-A,ACKR5; atypical chemokine receptor 5",Core,,
CD14,CD14,CD14 molecule,CD14 antigen,Core,,
CD163,CD163,CD163 molecule,"M130,MM130,SCARI1; CD163 antigen",Core,,
CD164,CD164,CD164 molecule,"CD164 antigen, sialomucin,CD164 molecule, sialomucin; deafness, autosomal dominant 66; MUC-24,MGC-24,DFNA66",Core,,
CD19,CD19,CD19 molecule,CD19 antigen,Core,,
CD1C,CD1C,CD1c molecule,"CD1C antigen, c polypeptide,CD1c antigen",Add-On,,
CD2,CD2,CD2 molecule,"CD2 antigen (p50), sheep red blood cell receptor",Core,,
CD209,CD209,CD209 molecule,"CD209 antigen; DC-SIGN,hDC-SIGN,CDSIGN,DC-SIGN1,CLEC4L",Core,,
CD22,CD22,CD22 molecule,"SIGLEC-2,SIGLEC2; sialic acid binding Ig-like lectin 2; CD22 antigen",Add-On,,
CD24,CD24,CD24 molecule,CD24 antigen (small cell lung carcinoma cluster 4 antigen); CD24A,Core,,
CD27,CD27,CD27 molecule,"tumor necrosis factor receptor superfamily, member 7; S152,Tp55",Core,,
CD274,CD274,CD274 molecule,"programmed cell death 1 ligand 1,CD274 antigen; B7 homolog 1; B7-H,B7H1,PD-L1,PDL1,B7-H1",Core,,
CD276,CD276,CD276 molecule,"B7-H3,B7H3,B7RP-2; CD276 antigen",Core,,
CD28,CD28,CD28 molecule,T-cell-specific surface glycoprotein; CD28 antigen (Tp44),Core,,
CD300A,CD300A,CD300a molecule,"CD300a antigen; Irp60,CMRF35H,CMRF-35-H9,IRC1,IRC2,IGSF12",Core,,
